Designator,Val,Package,MidX,MidY,Rotation,Layer
"C109","100n","C_0805_2012Metric",22.400000,33.300000,270.000000,top
"C111","100uF","CP_EIA-3528-21_Kemet-B",33.700000,34.550000,90.000000,top
"C112","100n","C_0805_2012Metric",38.050000,28.500000,90.000000,top
"C114","100n","C_0805_2012Metric",33.750000,27.500000,90.000000,top
"C115","100n","C_0805_2012Metric",72.600000,36.350000,270.000000,top
"C116","100n","C_0805_2012Metric",57.950000,9.200000,0.000000,top
"D101","SS14","D_SMA",56.500000,4.100000,90.000000,top
"D105","SS14","D_SMA",63.000000,17.500000,90.000000,top
"D106","SS14","D_SMA",66.750000,17.500000,90.000000,top
"FB102","BLM18PG121SN1D","L_0603_1608Metric",22.150000,38.950000,90.000000,top
"J101","USB_B_Micro","XKB_Micro_USB_B_U254",49.500000,3.950000,0.000000,top
"Q102","MMBT5551","SOT-23",70.750000,20.950000,0.000000,top
"Q103","MMBT5551","SOT-23",70.750000,16.000000,0.000000,top
"Q107","MMBT5401","SOT-23",70.450000,28.600000,180.000000,top
"R109","10k","R_0805_2012Metric",70.750000,9.000000,0.000000,top
"R110","10k","R_0805_2012Metric",70.750000,12.500000,0.000000,top
"R113","10k","R_0805_2012Metric",67.000000,12.750000,180.000000,top
"R116","10k","R_0805_2012Metric",35.750000,27.500000,90.000000,top
"R118","220R","R_0805_2012Metric",38.400000,15.362500,270.000000,top
"R120","10R","R_0805_2012Metric",67.550000,28.650000,90.000000,top
"U101","SRV05-4","SOT-23-6R",41.850000,6.250000,0.000000,top
"U102","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",64.250000,6.250000,270.000000,top
"U105","AMS1117-3.3","SOT-223-3_TabPin2",27.950000,35.600000,90.000000,top
"U106","ESP32-WROOM-32D","ESP32-WROOM-32",50.000000,21.250000,0.000000,top
